Company,Category,Product Code,Product Name,Full Description,Short Code,Commodity Code,EAN (Bar Code),Wash Degrees,Gender,GSM,Composition,Specifications,Colour Code,Colour,Pantone,Hex,Size,Price Single,Qty Single,Price Pack,Pack Qty,Price Caton,Carton Qty,Price 1K,1K Qty,MyPrice,Model Large Image,Model Small Image,Large Colour Image,Small Colour Image,Video Link,Packaging,Country of Origin,Gross Weight,Net Weight,Tax Code
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - XXL - 220GSM Classic Poloshirt,101BG2XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,2XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - 3XL - 220GSM Classic Poloshirt,101BG3XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,3XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - 4XL - 220GSM Classic Poloshirt,101BG4XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,4XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - Large - 220GSM Classic Poloshirt,101BGLR,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,L,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - Med - 220GSM Classic Poloshirt,101BGMD,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,M,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - Small - 220GSM Classic Poloshirt,101BGSM,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,S,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - XL - 220GSM Classic Poloshirt,101BGXL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Bottle Green - XS - 220GSM Classic Poloshirt,101BGXS,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BG,Bottle Green,627 C,#032D23,XS,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - XXL - 220GSM Classic Poloshirt,101BK2XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,2XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Black - 3XL - 220GSM Classic Poloshirt,101BK3XL,6103330000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,BK,Black,Black C,#000000,3XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-BK-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-BK-L.jpg,,,Pakistan,0.31,0.25,STANDARD
