ItemNo,Description,ProductCode,ColourCode,ColourDesc,SizeCode,SizeDesc,Weight,Category,Stock,StockLevel,StockDueDate,EAN,Stock in 7 Days,Stock in 30 Days
101BG2XL,UC101 - Bottle Green - XXL - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,2XL,XX Large,0,POLOSHIRT,1000,1000,,,0,1140
101BG3XL,UC101 - Bottle Green - 3XL - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,3XL,XXXL Large,0,POLOSHIRT,896,896,,5055682000140,,
101BG4XL,UC101 - Bottle Green - 4XL - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,4XL,XXXXL Large,0,POLOSHIRT,296,296,,5055682000157,0,180
101BGLR,UC101 - Bottle Green - Large - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,L,Large,0,POLOSHIRT,1000,1000,,5055682000119,0,3600
101BGMD,UC101 - Bottle Green - Med - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,M,Medium,0,POLOSHIRT,1000,1000,,5055682000102,0,4200
101BGSM,UC101 - Bottle Green - Small - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,S,Small,0,POLOSHIRT,1000,1000,,5055682000096,0,2100
101BGXL,UC101 - Bottle Green - XL - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,XL,X Large,0,POLOSHIRT,1000,1000,,5055682000126,0,420
101BGXS,UC101 - Bottle Green - XS - 220GSM Classic Poloshirt,UC101,BG,Bottle Green,XS,Xtra Small,0,POLOSHIRT,728,728,,5055682000089,0,840
101BK2XL,UC101 - Black - XXL - 220GSM Classic Poloshirt,UC101,BK,Black,2XL,XX Large,0,POLOSHIRT,1000,1000,,5055682000058,0,7620
101BK3XL,UC101 - Black - 3XL - 220GSM Classic Poloshirt,UC101,BK,Black,3XL,XXXL Large,0,POLOSHIRT,1000,1000,,5055682000065,0,3060
101BK4XL,UC101 - Black - 4XL - 220GSM Classic Poloshirt,UC101,BK,Black,4XL,XXXXL Large,0,POLOSHIRT,329,329,,5055682000072,0,1620
101BK5XL,UC101 - Black - 5XL - 220GSM Classic Poloshirt,UC101,BK,Black,5XL,5XL,0,POLOSHIRT,600,600,,5055682040016,0,420
101BK6XL,UC101 - Black - 6XL - 220GSM Classic Poloshirt,UC101,BK,Black,6XL,6XL,0,POLOSHIRT,265,265,,5055682045899,0,120
101BKLR,UC101 - Black - Large - 220GSM Classic Poloshirt,UC101,BK,Black,L,Large,0,POLOSHIRT,1000,1000,,5055682000034,0,33120
101BKMD,UC101 - Black - Med - 220GSM Classic Poloshirt,UC101,BK,Black,M,Medium,0,POLOSHIRT,1000,1000,,5055682000027,0,30900
101BKSM,UC101 - Black - Small - 220GSM Classic Poloshirt,UC101,BK,Black,S,Small,0,POLOSHIRT,1000,1000,,5055682000010,0,13740
101BKXL,UC101 - Black - XL - 220GSM Classic Poloshirt,UC101,BK,Black,XL,X Large,0,POLOSHIRT,1000,1000,,5055682000041,0,15060
101BKXS,UC101 - Black - XS - 220GSM Classic Poloshirt,UC101,BK,Black,XS,Xtra Small,0,POLOSHIRT,369,369,,5055682000003,0,2580
101CH2XL,UC101 - Charcoal - XXL - 220GSM Classic Poloshirt,UC101,CH,Charcoal,2XL,XX Large,0,POLOSHIRT,1000,1000,,5055682000218,840,2160
101CH3XL,UC101 - Charcoal - 3XL - 220GSM Classic Poloshirt,UC101,CH,Charcoal,3XL,XXXL Large,0,POLOSHIRT,1000,1000,,5055682000225,240,900
101CH4XL,UC101 - Charcoal - 4XL - 220GSM Classic Poloshirt,UC101,CH,Charcoal,4XL,XXXXL Large,0,POLOSHIRT,467,467,,5055682000232,60,300
101CHLR,UC101 - Charcoal - Large - 220GSM Classic Poloshirt,UC101,CH,Charcoal,L,Large,0,POLOSHIRT,1000,1000,,5055682000195,2280,8400
101CHMD,UC101 - Charcoal - Med - 220GSM Classic Poloshirt,UC101,CH,Charcoal,M,Medium,0,POLOSHIRT,1000,1000,,5055682000188,2400,9600
101CHSM,UC101 - Charcoal - Small - 220GSM Classic Poloshirt,UC101,CH,Charcoal,S,Small,0,POLOSHIRT,1000,1000,,5055682000171,1020,3120
101CHXL,UC101 - Charcoal - XL - 220GSM Classic Poloshirt,UC101,CH,Charcoal,XL,X Large,0,POLOSHIRT,1000,1000,,5055682000201,1440,4740
101CHXS,UC101 - Charcoal - XS - 220GSM Classic Poloshirt,UC101,CH,Charcoal,XS,Xtra Small,0,POLOSHIRT,238,238,,5055682000164,0,840
101FN2XL,UC101 - French Navy - 2XL - 220GSM Classic Poloshirt,UC101,FN,French Navy,2XL,XX Large,0,POLOSHIRT,763,763,,5055682048524,,
101FN3XL,UC101 - French Navy - 3XL - 220GSM Classic Poloshirt,UC101,FN,French Navy,3XL,XXXL Large,0,POLOSHIRT,153,153,,5055682048531,,
101FN4XL,UC101 - French Navy - 4XL - 220GSM Classic Poloshirt,UC101,FN,French Navy,4XL,XXXXL Large,0,POLOSHIRT,294,294,,5055682048548,,
101FN5XL,UC101 - French Navy - 5XL - 220GSM Classic Poloshirt,UC101,FN,French Navy,5XL,5XL,0,POLOSHIRT,651,651,,5055682048555,,
101FN6XL,UC101 - French Navy - 6XL - 220GSM Classic Poloshirt,UC101,FN,French Navy,6XL,6XL,0,POLOSHIRT,370,370,,5055682048562,,
101FNLR,UC101 - French Navy - L - 220GSM Classic Poloshirt,UC101,FN,French Navy,L,Large,0,POLOSHIRT,1000,1000,,5055682048579,,
101FNMD,UC101 - French Navy - M - 220GSM Classic Poloshirt,UC101,FN,French Navy,M,Medium,0,POLOSHIRT,1000,1000,,5055682048586,,
101FNSM,UC101 - French Navy - S - 220GSM Classic Poloshirt,UC101,FN,French Navy,S,Small,0,POLOSHIRT,1000,1000,,5055682048593,,
101FNXL,UC101 - French Navy - XL - 220GSM Classic Poloshirt,UC101,FN,French Navy,XL,X Large,0,POLOSHIRT,1000,1000,,5055682048609,,
101FNXS,UC101 - French Navy - XS - 220GSM Classic Poloshirt,UC101,FN,French Navy,XS,Xtra Small,0,POLOSHIRT,541,541,,5055682048616,,
101HG2XL,UC101 - Heather Grey - XXL - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,2XL,XX Large,0,POLOSHIRT,404,404,,5055682000294,,
101HG3XL,UC101 - Heather Grey - 3XL - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,3XL,XXXL Large,0,POLOSHIRT,0,0,28/01/2022,5055682000300,,
101HG4XL,UC101 - Heather Grey - 4XL - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,4XL,XXXXL Large,0,POLOSHIRT,297,297,,5055682000317,0,60
101HG5XL,UC101 - Heather Grey - 5XL - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,5XL,5XL,0,POLOSHIRT,0,0,19/01/2022,5055682040023,0,30
101HGLR,UC101 - Heather Grey - Large - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,L,Large,0,POLOSHIRT,8,8,,5055682000270,,
101HGMD,UC101 - Heather Grey - Med - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,M,Medium,0,POLOSHIRT,490,490,,5055682000263,,
101HGSM,UC101 - Heather Grey - Small - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,S,Small,0,POLOSHIRT,1,1,,5055682000256,,
101HGXL,UC101 - Heather Grey - XL - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,XL,X Large,0,POLOSHIRT,1000,1000,,5055682000287,,
101HGXS,UC101 - Heather Grey - XS - 220GSM Classic Poloshirt,UC101,HG,Heather Grey,XS,Xtra Small,0,POLOSHIRT,947,947,,5055682000249,,
101HP2XL,UC101 - Hot Pink - XXL - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,2XL,XX Large,0,POLOSHIRT,134,134,,5055682000379,0,660
101HP3XL,UC101 - Hot Pink - 3XL - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,3XL,XXXL Large,0,POLOSHIRT,256,256,,5055682000386,0,240
101HP4XL,UC101 - Hot Pink - 4XL - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,4XL,XXXXL Large,0,POLOSHIRT,80,80,,5055682000393,0,120
101HPLR,UC101 - Hot Pink - Large - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,L,Large,0,POLOSHIRT,457,457,,5055682000355,0,1260
101HPMD,UC101 - Hot Pink - Med - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,M,Medium,0,POLOSHIRT,6,6,,5055682000348,0,2160
101HPSM,UC101 - Hot Pink - Small - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,S,Small,0,POLOSHIRT,109,109,,5055682000331,0,1140
101HPXL,UC101 - Hot Pink - XL - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,XL,X Large,0,POLOSHIRT,439,439,,5055682000362,0,1020
101HPXS,UC101 - Hot Pink - XS - 220GSM Classic Poloshirt,UC101,HP,Hot Pink,XS,Xtra Small,0,POLOSHIRT,273,273,,5055682000324,,
101KG2XL,UC101 - Kelly Green - XXL - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,2XL,XX Large,0,POLOSHIRT,97,97,,5055682000454,0,360
101KG3XL,UC101 - Kelly Green - 3XL - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,3XL,XXXL Large,0,POLOSHIRT,132,132,,5055682000461,0,60
101KG4XL,UC101 - Kelly Green - 4XL - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,4XL,XXXXL Large,0,POLOSHIRT,227,227,,5055682000478,,
101KGLR,UC101 - Kelly Green - Large - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,L,Large,0,POLOSHIRT,1000,1000,,5055682000430,0,1200
101KGMD,UC101 - Kelly Green - Med - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,M,Medium,0,POLOSHIRT,1000,1000,,5055682000423,0,1200
101KGSM,UC101 - Kelly Green - Small - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,S,Small,0,POLOSHIRT,1000,1000,,5055682000416,0,840
101KGXL,UC101 - Kelly Green - XL - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,XL,X Large,0,POLOSHIRT,1000,1000,,5055682000447,,
101KGXS,UC101 - Kelly Green - XS - 220GSM Classic Poloshirt,UC101,KG,Kelly Green,XS,Xtra Small,0,POLOSHIRT,468,468,,5055682000409,,
